Gear_No,Oil Temperature (C),Wr Sleeve Pr CW (bar),Blk Passage Pr (bar),Gear Ratio,Flow Validation (lpm),NPD (bar),Efficiency CW (bar),Efficiency CCW (bar),Leakage CW (lpm),Leakage CCW (lpm),Leak Pr CW (bar),Leak Pr CCW (bar),Torque Bal 1 (Nm),Torque Bal 2 (Nm),Hysterisis CW(%),Hysterisis CCW(%),Direction,TT-CW,TT-CCW,TT-Diff,PCW,PCCW,CW_10.00,CW_31.00,CW_69.00,CW_90.00,CCW_10.00,CCW_31.00,CCW_69.00,CCW_90.00
V18FL42825,55.621787,12.603906,12.060547,38.179392,13.196791,3.367627,149.988077,148.140850,1.169367,0.493299,112.555289,112.783293,0.092253,0.092253,45.112614,48.229206,OK,0.985352,1.021484,0.036133,34.576953,32.841504,5.26,6.99,7.59,7.90,-5.26,-6.90,-7.82,-8.30
V18FL42826,57.449772,12.775293,12.974609,33.463236,13.406263,3.191699,148.764185,149.327158,1.461370,0.849925,110.927861,111.878057,0.642822,0.642822,43.629939,59.031995,OK,0.113281,0.103516,0.009766,35.611621,32.629492,4.89,6.66,7.35,7.81,-4.56,-6.02,-7.42,-8.05
V18FL42827,56.031566,12.908594,12.206543,38.692391,12.993763,3.558350,150.848953,147.245150,1.652056,0.601366,111.693817,111.970534,0.842860,0.842860,42.256982,51.945179,OK,1.059570,1.250000,0.190430,37.201074,32.934180,4.77,6.01,6.81,7.33,-5.51,-6.85,-7.63,-8.39
V18FL42828,56.740669,12.974609,12.974609,39.587476,12.796888,3.243506,148.006160,148.471983,1.517230,0.524275,111.642132,111.805519,0.056178,0.056178,43.138214,47.709595,OK,1.169922,1.106445,0.063477,34.975586,32.244824,4.60,6.31,7.41,8.26,-4.89,-6.36,-7.29,-8.05
V18FL42832,56.807395,14.339355,13.106641,40.311713,12.993763,3.690332,151.408911,149.633142,1.511278,0.906758,113.660058,113.347758,0.354359,0.354359,17.222926,20.123090,OK,1.049805,1.545898,0.496094,33.172852,29.554687,4.18,6.79,7.71,8.42,-4.24,-6.44,-8.15,-9.27
V18FL42833,56.417595,12.351270,11.848535,33.332195,12.543484,3.191992,150.111721,152.572505,1.612844,0.521880,114.134846,114.662696,0.747900,0.747900,15.147172,22.691770,OK,1.541016,1.974609,0.433594,34.603613,32.788184,5.12,7.46,8.54,8.91,-4.38,-6.71,-8.47,-9.26
V18FL42834,54.814292,11.583203,11.861230,37.900466,12.481694,3.193018,148.740083,154.486295,1.492694,0.556466,113.581002,115.089669,0.638647,0.638647,20.997784,11.417867,OK,0.888672,1.340820,0.452148,35.253613,31.475488,4.92,6.52,7.47,7.71,-3.96,-5.88,-7.28,-7.55
V18FL42835,54.373223,11.225195,12.033887,35.800328,12.065637,2.654980,150.161142,149.281412,1.630642,0.606820,114.525561,115.140543,0.827921,0.827921,28.877385,51.178830,OK,0.958008,1.562500,0.604492,35.492285,31.131445,5.67,7.59,8.53,9.14,-4.29,-6.76,-9.15,-9.46
V18FL42836,53.522375,13.054590,12.709277,38.811075,12.796888,3.463135,152.449166,146.861316,1.072986,1.416975,114.786773,113.833440,0.027003,0.027003,17.202940,25.060361,OK,1.320312,1.342773,0.022461,34.484277,31.754785,4.58,7.09,8.63,9.21,-4.68,-7.06,-8.36,-8.64
V18FL42837,53.691640,10.509180,11.980566,41.650446,12.481694,3.028516,147.670965,151.778810,1.595403,0.975070,113.401589,114.659497,1.508602,1.508602,16.058248,24.370869,OK,0.927734,1.136719,0.208984,33.411523,30.839453,5.35,7.78,8.60,8.97,-4.07,-6.27,-7.84,-8.29
